class,term,week,subject,topic,agegroup
Year 5,Summer Term,7,Physical and Health Education,P- table tennis- fore hand service H- strain and causes,9-10
Year 5,Summer Term,8,Physical and Health Education,P- table tennis- back hand service H- dislocation signs and symptoms of dislocation,9-10
Year 5,Summer Term,9,Physical and Health Education,P- singles and doubles in table tennis H- fracture and types of fracture,9-10
Year 1,Summer Term,1,Cultural and Creative Arts,"Introduction to story telling: meaning, making up a story i.e folktale, role play",5-6
Year 1,Summer Term,2,Cultural and Creative Arts,"Ceremonies: meaning, types and importance",5-6
Year 1,Summer Term,3,Cultural and Creative Arts,"National art and cultural festivals: egungun festivals in Oyo state, Abuja carnival, dancers in Anambra state, Eyo masquerade in Lagos",5-6
Year 1,Summer Term,4,Cultural and Creative Arts,Drawing and painting festivals and carnival,5-6
Year 1,Summer Term,5,Cultural and Creative Arts,"Modelling- simple objects meaning, types and examples",5-6
Year 1,Summer Term,6,Cultural and Creative Arts,"Mosaic: meaning, types and importance",5-6
Year 1,Summer Term,7,Cultural and Creative Arts,Origami,5-6
Year 1,Summer Term,8,Cultural and Creative Arts,End of the session class decorations,5-6
Year 1,Summer Term,9,Cultural and Creative Arts,End of the session class decorations,5-6
Year 2,Summer Term,1,Cultural and Creative Arts,"Story telling: creation of story, dramatic elements in story telling",6-7
Year 2,Summer Term,2,Cultural and Creative Arts,"Practical: formation of a story, playing a role, dramatize the character of the story",6-7
Year 2,Summer Term,3,Cultural and Creative Arts,"Pattern making: meaning, methods of making",6-7
Year 2,Summer Term,4,Cultural and Creative Arts,Practical of making pattern with simple design,6-7
Year 2,Summer Term,5,Cultural and Creative Arts,"Drawing: meaning, types and materials",6-7
Year 2,Summer Term,6,Cultural and Creative Arts,"Painting: meaning, types and materials",6-7
Year 2,Summer Term,7,Cultural and Creative Arts,Practical: drawing and painting of costumes used in carnival and festivals,6-7
Year 2,Summer Term,8,Cultural and Creative Arts,"Body beautification: meaning, ways and materials",6-7
Year 2,Summer Term,9,Cultural and Creative Arts,Practical: founder's and decorations,6-7
Year 3,Summer Term,1,Cultural and Creative Arts,Textile pattern design and traditional fabrics: meaning and types of traditional fabrics,7-8
Year 3,Summer Term,2,Cultural and Creative Arts,"Importance of traditional fabrics, drawing of traditional fabrics",7-8
Year 3,Summer Term,3,Cultural and Creative Arts,"Traditional fashion accessories: meaning, types and importance",7-8
Year 3,Summer Term,4,Cultural and Creative Arts,Drawing and painting fashion accessories ( practical),7-8
Year 3,Summer Term,5,Cultural and Creative Arts,Fabrics design (batik): meaning and tools for batik,7-8
Year 3,Summer Term,6,Cultural and Creative Arts,Practical: bead and crown making,7-8
Year 3,Summer Term,7,Cultural and Creative Arts,"Paper Mache : meaning, tools and materials",7-8
Year 3,Summer Term,8,Cultural and Creative Arts,Paper Mache: practical,7-8
Year 4,Summer Term,1,Cultural and Creative Arts,"Local musical instruments: meaning, classification and importance",8-9
Year 4,Summer Term,2,Cultural and Creative Arts,"Foreign musical instruments: meaning, classification and importance",8-9
Year 4,Summer Term,3,Cultural and Creative Arts,"Musical instruments: practical- playing musical instruments such as piano, guitar, talking drum e.t.c",8-9
Year 4,Summer Term,4,Cultural and Creative Arts,"Still life drawing: meaning and examples, techniques used and steps taken when drawing still life objects",8-9
Year 4,Summer Term,5,Cultural and Creative Arts,"Introduction to theatre and drama: meaning of drama and roles of actors/actress in drama, meaning of theatre, differences between theatre and drama",8-9
Year 4,Summer Term,6,Cultural and Creative Arts,"Dances of the locality: elements and uses of dance, features of traditional dance, some Nigeria traditional dance",8-9
Year 4,Summer Term,7,Cultural and Creative Arts,"Body movements in dance: meaning and principles, movements to music and rhythms",8-9
Year 4,Summer Term,8,Cultural and Creative Arts,"Introduction to play acting: meaning and terminologies used in play acting e.g character, impersonation, costume, role play",8-9
Year 4,Summer Term,9,Cultural and Creative Arts,Classes of characters,8-9
Year 5,Summer Term,1,Cultural and Creative Arts,"Casting: meaning, process and personnel",9-10
Year 5,Summer Term,2,Cultural and Creative Arts,"Rehearsal: meaning, types and importance",9-10
Year 5,Summer Term,3,Cultural and Creative Arts,Introduction to staging a play: meaning and roles of director in staging a play,9-10
Year 5,Summer Term,4,Cultural and Creative Arts,Portrait painting : practical,9-10
Year 5,Summer Term,5,Cultural and Creative Arts,"Nigerian local architecture: meaning, forms and materials used in building traditional houses in Nigeria",9-10
Year 5,Summer Term,6,Cultural and Creative Arts,"Nigerian local architecture: the purpose, the basic consideration and areas where local architectural design can be found",9-10
Year 5,Summer Term,7,Cultural and Creative Arts,"Collage: meaning, materials, functions and steps in making collage",9-10
Year 5,Summer Term,8,Cultural and Creative Arts,"Musical notes: meaning, names of musical note and singing the scale in sofa notation (d:r:m:f:s:l:t:d)",9-10
Year 5,Summer Term,9,Cultural and Creative Arts,Practical: land scape painting,9-10
